date,close,open,high,low,turnover,volume,vwap,mktCap
2007-07-18,405.05,405.0,405.05,405.0,,15493.0,,
2007-07-19,407.0,429.0,429.0,407.0,,5028.0,,
2007-07-20,405.0,408.0,408.0,405.0,,1545.0,,
2007-07-23,401.0,405.0,405.0,401.0,,1661.0,,
2007-07-24,385.0,383.0,385.0,383.0,,454.0,,
2007-07-25,385.0,383.1,385.0,383.1,,559.0,,
2007-07-26,387.1,385.0,387.1,385.0,,385.0,,
2007-07-27,397.25,397.25,397.25,397.25,,102.0,,
2007-07-31,395.0,390.0,395.0,390.0,,129.0,,
2007-08-01,405.0,400.0,405.0,400.0,,27.0,,
2007-08-02,400.0,401.0,401.0,400.0,,265.0,,
2007-08-03,400.0,396.15,400.0,396.15,,67.0,,
2007-08-06,391.1,391.1,391.1,391.1,,215.0,,
2007-08-07,400.0,399.0,400.0,399.0,,310.0,,
2007-08-08,391.1,396.0,396.0,391.1,,155.0,,
2007-08-09,401.05,400.0,401.05,400.0,,636.0,,
2007-08-10,410.0,400.0,410.0,400.0,,762.0,,
2007-08-13,401.1,406.0,406.0,401.1,,500.0,,
2007-08-15,401.0,401.0,401.0,401.0,,129.0,,
2007-08-16,410.0,400.0,410.0,400.0,,532.0,,
2007-08-17,405.0,405.0,405.0,405.0,,357.0,,
2007-08-22,408.0,402.0,408.0,402.0,,98.0,,
2007-08-23,410.0,400.0,410.0,400.0,,775.0,,
2007-08-24,411.0,410.0,411.0,410.0,,363.0,,
2007-08-27,405.0,405.1,405.1,405.0,,138.0,,
2007-08-28,405.05,405.05,405.05,405.05,,4.0,,
2007-08-29,420.0,406.0,420.0,406.0,,492.0,,
2007-08-30,428.0,425.05,428.0,425.0,,179.0,,
2007-08-31,434.0,428.5,434.0,428.5,123250.0,285.0,,
2007-09-03,430.0,428.0,430.0,428.0,172165.0,401.0,,
2007-09-04,450.0,450.0,450.0,450.0,152550.0,339.0,,
2007-09-05,450.0,450.0,450.0,450.0,194400.0,432.0,,
2007-09-06,448.0,450.0,450.0,448.0,236750.0,527.0,,
2007-09-07,450.0,445.0,450.0,445.0,359500.0,800.0,,
2007-09-10,439.0,434.0,439.0,434.0,67275.0,155.0,,
2007-09-11,431.0,431.0,431.0,431.0,32756.0,76.0,,
2007-09-12,449.0,430.0,450.0,430.0,650650.0,1447.0,,
2007-09-13,449.0,449.0,449.0,448.0,569970.0,1270.0,,
2007-09-14,448.0,425.0,448.0,425.0,553505.0,1245.0,,87.36
2007-09-17,449.0,440.0,449.0,440.0,149390.0,334.0,,87.555
2007-09-18,440.0,440.0,440.0,440.0,33000.0,75.0,,85.8
2007-09-19,433.0,433.0,433.0,433.0,30743.0,71.0,,84.435
2007-09-20,432.0,425.05,432.0,425.05,48803.2,114.0,,84.24
2007-09-21,433.5,433.5,433.5,433.5,433.5,1.0,,84.5325
2007-09-24,440.0,440.0,440.0,440.0,13200.0,30.0,,85.8
2007-09-25,432.0,434.0,434.0,432.0,55786.0,129.0,,84.24
2007-09-26,431.0,431.0,431.0,431.0,4310.0,10.0,,84.045
2007-09-27,440.0,440.0,440.0,440.0,52800.0,120.0,,85.8
2007-09-28,445.0,445.0,445.0,445.0,72090.0,162.0,,86.775
2007-10-01,440.0,440.0,440.0,440.0,48400.0,110.0,,85.8
2007-10-02,439.85,419.95,439.85,419.95,33235.75,79.0,,85.7707
2007-10-03,430.0,430.0,430.0,430.0,13760.0,32.0,,83.85
2007-10-04,450.0,440.0,450.0,440.0,303120.0,677.0,,87.75
2007-10-05,445.0,440.0,445.0,440.0,80230.0,181.0,,86.775
2007-10-08,435.0,435.0,435.0,435.0,27840.0,64.0,,84.825
2007-10-09,434.0,434.0,434.0,434.0,434.0,1.0,,84.63
