date,close,open,high,low,turnover,volume,vwap,mktCap
2015-05-28,535.0,535.0,535.0,535.0,,,,
2015-05-29,556.0,573.0,579.0,550.1,123222200.0,216664.0,568.725,4981.76
2015-06-01,562.0,558.0,566.0,556.5,3090284.0,5096.0,561.0537,5035.52
2015-06-02,586.0,565.0,586.0,565.0,37311920.0,64639.0,577.2354,5250.56
2015-06-03,610.0,591.1,614.0,590.0,39434210.0,65822.0,599.1039,5465.6
2015-06-04,614.9,605.1,628.0,605.1,20773130.0,33728.0,615.9017,5509.504
2015-06-05,599.0,601.0,609.0,596.0,4415916.0,7347.0,601.0502,5367.04
2015-06-08,600.0,595.5,600.0,595.5,7546067.0,12597.0,599.0369,5376.0
2015-06-09,605.0,600.0,610.0,600.0,4726353.0,7820.0,604.393,5420.8
2015-06-10,600.0,600.0,600.0,595.0,247475.3,413.0,599.2138,5376.0
2015-06-11,600.0,600.0,603.0,595.2,8150726.0,13588.0,599.8474,5376.0
2015-06-12,595.6,595.5,600.0,595.5,460711.4,773.0,596.0044,5336.576
2015-06-15,599.0,595.8,599.0,595.8,2256030.0,3784.0,596.2023,5367.04
2015-06-16,605.5,596.5,605.8,596.5,20178890.0,33373.0,604.6473,5425.28
2015-06-17,570.5,580.0,580.0,568.2,2911239.0,5100.0,570.8311,5111.68
2015-06-18,559.0,568.9,569.0,556.4,6081398.0,10856.0,560.1877,5008.64
2015-06-19,557.1,557.0,560.0,557.0,1850293.0,3311.0,558.8321,4991.616
2015-06-22,560.0,556.8,560.0,545.0,398360.0,717.0,555.5928,5017.6
2015-06-23,560.0,546.0,560.0,546.0,1035967.0,1862.0,556.3732,5017.6
2015-06-24,570.0,560.0,570.0,560.0,709154.8,1260.0,562.8213,5107.2
2015-06-25,562.5,560.0,562.5,560.0,528079.2,941.0,561.1894,5040.0
2015-06-26,580.0,555.0,580.0,555.0,1191360.0,2091.0,569.7561,5196.8
2015-06-29,570.0,570.0,580.0,570.0,752599.6,1320.0,570.1512,5107.2
2015-06-30,560.6,560.0,570.0,560.0,104442.0,186.0,561.5161,5022.976
2015-07-01,560.5,560.5,569.0,560.5,19651.5,35.0,561.4714,5022.08
2015-07-02,570.0,557.6,570.0,557.6,4069891.0,7156.0,568.7382,5107.2
2015-07-03,561.1,560.5,570.0,560.5,192586.5,343.0,561.4767,5027.456
2015-07-06,561.0,561.0,569.9,561.0,165248.7,293.0,563.9888,5026.56
2015-07-07,570.0,560.0,570.0,560.0,2095073.0,3686.0,568.3865,5107.2
2015-07-08,570.0,561.6,570.0,561.6,165987.4,293.0,566.5099,5107.2
2015-07-09,562.5,564.0,570.1,562.5,281625.9,495.0,568.9412,5040.0
2015-07-10,570.0,563.0,570.0,563.0,1689352.0,2970.0,568.8055,5107.2
2015-07-13,570.0,563.0,570.0,563.0,363596.7,640.0,568.1198,5107.2
2015-07-14,563.1,563.1,563.2,563.1,63067.6,112.0,563.1036,5045.376
2015-07-15,580.0,562.6,588.0,562.0,2342042.0,4074.0,574.8751,5196.8
2015-07-16,600.0,580.2,600.0,580.2,3731099.0,6267.0,595.3564,5376.0
2015-07-20,605.0,585.0,610.0,585.0,3661882.0,6195.0,591.1029,5420.8
2015-07-21,601.1,601.0,605.0,601.0,508548.5,845.0,601.8325,5385.856
2015-07-22,608.0,604.0,615.0,600.2,9163098.0,15098.0,606.908,5447.68
2015-07-23,615.0,606.0,619.4,606.0,253382.0,414.0,612.0338,5510.4
2015-07-24,608.1,606.0,615.0,606.0,3231610.0,5299.0,609.8528,5448.576
2015-07-27,615.0,608.1,615.0,608.1,147017.0,240.0,612.5708,5510.4
2015-07-28,610.1,610.0,614.9,610.0,5054938.0,8260.0,611.9779,5466.496
2015-07-29,620.0,581.0,638.0,581.0,6087955.0,9883.0,616.0027,5555.2
2015-07-31,620.0,620.0,624.9,615.5,413231.2,667.0,619.537,5555.2
2015-08-03,620.0,620.0,620.0,620.0,34720.0,56.0,620.0,5555.2
2015-08-04,627.3,620.0,627.8,620.0,469729.4,753.0,623.8106,5620.608
2015-08-05,627.0,616.0,627.9,616.0,401264.4,647.0,620.1923,5617.92
2015-08-06,626.9,626.0,626.9,620.1,84745.2,136.0,623.1265,5617.024
2015-08-07,620.0,627.0,627.0,619.1,3272153.0,5257.0,622.4373,5555.2
2015-08-10,620.2,623.0,626.0,620.2,1908083.0,3063.0,622.9457,5556.992
2015-08-11,630.0,622.0,630.0,621.3,2786932.0,4458.0,625.153,5644.8
2015-08-12,625.1,627.0,630.0,625.1,1269022.0,2024.0,626.9872,5600.896
2015-08-13,620.0,620.7,621.0,620.0,184216.9,297.0,620.2589,5555.2
2015-08-17,626.0,619.0,626.0,610.1,330148.3,528.0,625.2809,5608.96
2015-08-18,611.6,611.1,625.9,611.0,96621.3,158.0,611.5272,5479.936
2015-08-19,612.2,612.2,612.2,612.2,26936.8,44.0,612.2,5485.312
2015-08-24,612.2,612.7,612.7,612.2,1878876.0,3069.0,612.2111,5485.312
2015-08-25,610.0,611.7,611.7,610.0,125086.2,205.0,610.1766,5465.6
2015-08-26,612.0,601.2,612.0,601.2,470600.9,773.0,608.798,5483.52
2015-08-27,601.6,602.0,618.0,601.2,1832556.0,3005.0,609.8354,5390.336
2015-08-28,601.6,601.6,601.6,601.6,,,,5390.336
2015-08-31,601.6,602.0,602.0,601.6,36714.5,61.0,601.8771,5390.336
2015-09-01,600.1,605.0,605.0,600.1,7387571.0,12263.0,602.4277,5376.896
2015-09-02,600.0,600.0,600.1,600.0,1510900.0,2518.0,600.0397,5376.0
2015-09-03,598.5,598.5,598.5,598.5,2992.5,5.0,598.5,5362.56
2015-09-04,597.9,582.0,597.9,582.0,98965.2,166.0,596.1759,5357.184
2015-09-07,583.2,582.5,600.0,582.5,502684.4,847.0,593.4881,5225.472
2015-09-08,583.0,583.4,583.4,583.0,9330.0,16.0,583.125,5223.68
2015-09-09,597.9,584.0,597.9,584.0,8815.6,15.0,587.7067,5357.184
2015-09-10,597.9,585.0,597.9,585.0,39844.5,68.0,585.9485,5357.184
2015-09-11,615.0,585.3,615.0,584.0,64936.0,111.0,585.009,5510.4
2015-09-14,600.0,600.0,600.0,600.0,360000.0,600.0,600.0,5376.0
2015-09-15,586.3,586.3,586.3,586.3,13484.9,23.0,586.3,5253.248
2015-09-16,586.1,588.0,588.0,586.1,55718.0,95.0,586.5052,5251.456
2015-09-17,590.0,590.0,590.0,590.0,597670.0,1013.0,590.0,5286.4
2015-09-18,590.0,590.0,590.0,590.0,,,,5286.4
2015-09-21,586.2,586.2,586.2,586.2,35172.0,60.0,586.2,5252.352
2015-09-22,587.0,587.5,587.5,587.0,20547.5,35.0,587.0714,5259.52
2015-09-23,586.2,586.2,586.2,586.2,11724.0,20.0,586.2,5252.352
2015-09-28,581.1,581.1,581.1,581.1,78448.51,135.0,581.1,5206.656
2015-09-29,599.8,588.0,599.8,588.0,1288367.0,2191.0,588.0269,5374.208
2015-09-30,583.2,584.2,584.2,583.1,54842.4,94.0,583.4298,5225.472
2015-10-01,595.0,595.0,595.0,595.0,1190.0,2.0,595.0,5331.2
2015-10-02,559.3,594.5,595.0,559.3,3276729.0,5623.0,582.7368,5011.328
2015-10-05,580.0,584.0,584.0,557.0,70482.5,125.0,563.86,5196.8
2015-10-06,583.8,579.9,583.8,560.0,445776.2,769.0,579.683,5230.848
2015-10-07,562.0,561.6,562.1,561.6,5660882.0,10071.0,562.0973,5035.52
