date,close,open,high,low,turnover,volume,vwap,mktCap
2013-12-11,447.5,447.5,447.5,447.5,,,,
2013-12-18,,,,,,,,10555.873
2013-12-19,,,,,,,,10555.873
2013-12-20,,,,,,,,10555.873
2013-12-23,447.5,447.5,447.5,447.5,,,,10555.873
2013-12-24,452.0,465.0,468.0,452.0,93825280.0,203787.0,460.4076,10662.0214
2013-12-25,452.0,450.0,452.0,447.5,18719890.0,41665.0,449.2949,10662.0214
2013-12-26,455.0,453.0,458.8,452.5,18234900.0,40200.0,453.6046,10732.787
2013-12-27,454.5,453.2,458.0,453.2,4325175.0,9511.0,454.755,10720.9928
2013-12-30,453.4,453.1,454.9,453.1,8076749.0,17814.0,453.3934,10695.0454
2013-12-31,453.4,453.4,454.0,453.4,13939230.0,30743.0,453.4115,10695.0454
2014-01-02,455.1,450.0,458.0,450.0,4992527.0,10996.0,454.0309,10735.1459
2014-01-03,455.0,455.0,457.9,455.0,2089732.0,4591.0,455.1801,10732.787
2014-01-06,455.1,455.05,457.0,455.05,2490573.0,5469.0,455.3982,10735.1459
2014-01-07,456.0,455.1,456.5,455.1,5399750.0,11856.0,455.4444,10756.3756
2014-01-08,455.15,455.1,456.0,455.1,3912824.0,8597.0,455.1385,10736.3253
2014-01-09,456.0,455.1,456.0,455.1,6692883.0,14704.0,455.1743,10756.3756
2014-01-10,454.0,455.0,456.0,452.0,2067196.0,4550.0,454.3288,10709.1985
2014-01-13,453.0,452.0,454.0,451.1,1960825.0,3744.0,452.0114,10685.61
2014-01-16,453.0,453.0,453.9,452.0,1893942.0,4185.0,452.5549,10685.61
2014-01-17,453.0,453.0,453.5,452.05,2584268.0,5705.0,452.983,10685.61
2014-01-20,453.0,452.0,454.0,451.0,2009377.0,4444.0,452.155,10685.61
2014-01-21,447.5,450.0,451.0,447.5,11621590.0,25934.0,448.1219,10555.873
2014-01-22,447.6,447.6,449.9,447.5,2450204.0,5474.0,447.6076,10558.2318
2014-01-23,447.65,447.5,447.65,447.0,5040790.0,11264.0,447.5133,10559.4112
2014-01-24,450.0,447.6,450.8,447.5,13142220.0,29190.0,450.2303,10614.8443
2014-01-27,447.5,447.6,448.0,447.5,1282655.0,2866.0,447.5417,10555.873
2014-01-28,450.0,447.5,450.05,447.5,16565880.0,36824.0,449.8665,10614.8443
2014-01-29,450.0,448.1,450.0,448.1,3546592.0,7892.0,449.3907,10614.8443
2014-01-30,447.5,448.5,450.0,447.5,5500720.0,12284.0,447.7955,10555.873
2014-01-31,450.0,447.0,450.0,447.0,3528650.0,7886.0,447.4575,10614.8443
2014-02-03,447.5,447.5,449.0,447.5,1019491.0,2278.0,447.5377,10555.873
2014-02-04,447.5,447.5,447.5,447.5,1481225.0,3310.0,447.5,10555.873
2014-02-05,447.5,447.5,448.0,444.0,1526399.0,3415.0,446.9689,10555.873
2014-02-06,446.9,445.0,446.9,442.5,1949543.0,4387.0,444.3911,10541.7198
2014-02-07,446.8,444.0,446.8,443.0,2586048.0,5812.0,444.9498,10539.361
2014-02-10,447.0,445.0,447.0,445.0,2612588.0,5868.0,445.2263,10544.0787
2014-02-11,446.0,444.0,446.5,444.0,2760583.0,6213.0,444.3236,10520.4902
2014-02-12,442.4,444.5,444.5,442.4,6170410.0,13900.0,443.9144,10435.5714
2014-02-13,437.0,440.0,442.5,425.0,7904495.0,18093.0,436.8814,10308.1933
2014-02-14,437.0,429.0,437.7,429.0,3219492.0,7407.0,434.6553,10308.1933
2014-02-17,429.1,432.0,439.0,428.1,3821901.0,8857.0,431.5119,10121.8438
2014-02-18,429.9,429.0,433.0,428.5,6934485.0,16132.0,429.8589,10140.7146
2014-02-19,430.0,428.0,430.0,426.05,2820024.0,6568.0,429.358,10143.0735
2014-02-20,433.0,428.1,433.8,428.1,4926004.0,11402.0,432.0298,10213.8391
2014-02-21,447.0,433.0,447.0,433.0,3358916.0,7597.0,442.1371,10544.0787
2014-02-24,445.2,445.0,448.0,445.0,1755374.0,3925.0,447.2289,10501.6193
2014-02-25,442.2,445.0,445.25,440.05,1056391.0,2384.0,443.1169,10430.8537
2014-02-26,441.95,442.0,444.9,440.0,518188.0,1174.0,441.3867,10424.9566
2014-02-27,447.9,440.2,448.0,440.2,4992453.0,11170.0,446.9519,10565.3084
2014-02-28,447.9,445.1,447.95,445.05,2884651.0,6447.0,447.4409,10565.3084
2014-03-03,446.5,446.1,447.9,446.1,1340263.0,2997.0,447.2016,10532.2844
2014-03-04,447.8,446.1,447.8,446.1,1065801.0,2384.0,447.0643,10562.9495
2014-03-05,447.0,447.0,447.5,446.2,544018.3,1217.0,447.0159,10544.0787
2014-03-06,446.2,446.3,447.5,446.15,849702.9,1903.0,446.507,10525.2079
2014-03-07,446.35,446.5,447.5,446.35,456738.0,1023.0,446.4692,10528.7461
2014-03-10,447.45,446.3,447.45,446.3,375575.0,841.0,446.5815,10554.6935
