date,close,open,high,low,turnover,volume,vwap,mktCap
1998-06-02,300.0,300.0,300.0,300.0,,200.0,,
1998-07-28,267.5,267.5,267.5,267.5,,24.0,,
1998-07-29,267.5,267.5,267.5,267.05,,46.0,,
1998-07-30,270.0,270.0,270.0,270.0,,18.0,,
1998-07-31,267.5,267.52,267.5,267.5,,116.0,,
1998-08-03,267.5,267.5,267.5,267.5,,8.0,,
1998-08-04,267.5,267.5,267.5,267.5,,12.0,,
1998-08-05,267.5,267.5,267.5,267.5,,10.0,,
1998-08-06,267.5,267.5,267.5,267.5,,14.0,,
1998-08-07,267.5,267.5,267.5,267.5,,58.0,,
1998-08-11,267.5,267.5,267.5,267.5,,184.0,,
1998-08-12,267.6,267.6,267.6,267.6,,610.0,,
1998-08-17,267.5,267.5,267.5,267.5,,100.0,,
1998-08-18,268.0,268.0,268.0,268.0,,18.0,,
1998-08-19,267.5,267.5,267.5,267.5,,52.0,,
1998-08-21,267.5,267.5,267.5,267.5,,49.0,,
1998-08-24,267.5,267.5,267.5,267.5,,8.0,,
1998-08-25,267.5,267.5,267.5,267.5,,2.0,,
1998-08-26,270.0,270.0,270.0,270.0,,20.0,,
1998-08-27,267.5,267.5,267.5,267.5,,24.0,,
1998-08-28,267.5,267.5,267.5,267.5,,8.0,,
1998-08-31,267.5,267.5,267.5,267.5,,43.0,,
1998-09-01,267.5,267.5,267.5,267.5,,10.0,,
1998-09-02,267.5,267.5,267.5,267.5,,2.0,,
1998-09-03,267.5,267.5,267.5,267.5,,60.0,,
1998-09-04,267.5,267.5,267.5,267.5,,81.0,,
1998-09-07,267.5,267.5,267.5,267.5,,33.0,,
1998-09-08,267.5,267.5,267.5,267.5,,26.0,,
1998-09-09,267.5,267.5,267.5,267.5,,239.0,,
1998-09-10,267.5,267.5,267.5,267.5,,6.0,,
1998-09-11,268.0,268.0,268.0,268.0,,152.0,,
1998-09-14,268.0,,,,,339.0,,
1998-09-15,268.0,,,,,18.0,,
1998-09-16,268.0,268.0,268.0,268.0,,707.0,,
1998-09-17,268.0,,,,,292.0,,
1998-09-18,268.0,268.0,268.0,268.0,,526.0,,
1998-09-21,267.9,267.9,267.9,267.9,,250.0,,
1998-09-22,267.9,,,,,29.0,,
1998-09-23,267.0,267.0,267.0,267.0,,20.0,,
1998-09-24,270.0,,,,,50.0,,
1998-09-25,268.0,268.0,268.0,268.0,,125.0,,
1998-09-29,268.0,,,,,450.0,,
1998-09-30,264.8,264.8,264.8,264.8,,,,
1998-10-02,268.0,,,,,100.0,,
1998-10-06,268.0,,,,,6.0,,
1998-10-07,256.0,,,,,22.0,,
1998-10-08,268.0,268.0,268.0,268.0,,500.0,,
1998-10-09,268.0,,,,,120.0,,
1998-10-12,255.0,,,,,4.0,,
1998-10-13,255.0,,,,,186.0,,
1998-10-14,251.0,251.0,251.0,251.0,,12.0,,
1998-10-15,251.0,,,,,2.0,,
1998-10-16,251.0,,,,,8.0,,
1998-10-21,250.0,,,,,,,
1998-10-22,250.0,,,,,700.0,,
1998-10-23,250.0,250.0,250.0,250.0,,100.0,,
1998-10-26,250.0,250.0,250.0,250.0,,51.0,,
1998-10-27,250.0,250.0,250.0,250.0,,10.0,,
1998-10-28,252.0,252.0,252.0,252.0,,14.0,,
1998-10-29,252.0,,,,,141.0,,
1998-10-30,252.0,252.0,252.0,252.0,,22.0,,
1998-11-03,252.0,252.0,252.0,252.0,,10.0,,
1998-11-04,252.0,252.0,252.0,252.0,,6.0,,
1998-11-05,252.0,252.0,252.0,252.0,,,,
1998-11-10,270.0,270.0,270.0,270.0,,100.0,,
1998-11-12,254.5,254.5,254.5,254.5,,234.0,,
1998-11-13,254.0,254.0,254.0,254.0,,119.0,,
1998-11-16,264.95,264.95,264.95,264.95,,10.0,,
1998-11-17,254.0,254.0,254.0,254.0,,6.0,,
1998-11-19,254.0,254.0,254.0,254.0,,36.0,,
1998-11-20,256.0,256.0,256.0,256.0,,35.0,,
1998-11-23,256.0,256.0,256.0,256.0,,116.0,,
1998-11-24,265.0,265.0,265.0,265.0,,1000.0,,
1998-11-25,258.0,258.0,258.0,258.0,,136.0,,
1998-11-27,260.0,260.0,260.0,260.0,,63.0,,
1998-11-30,265.0,265.0,265.0,265.0,,300.0,,
1998-12-01,265.0,265.0,265.0,265.0,,867.0,,
1998-12-02,265.0,265.0,265.0,265.0,,561.0,,
1998-12-03,265.0,265.0,265.0,265.0,,24.0,,
1998-12-07,265.0,265.0,265.0,265.0,,20.0,,
1998-12-08,265.0,265.0,265.0,265.0,,20.0,,
1998-12-10,265.0,265.0,265.0,265.0,,21.0,,
1998-12-11,264.0,264.0,264.0,264.0,,,,
1998-12-14,270.0,270.0,270.0,270.0,,670.0,,
1998-12-15,265.0,265.0,265.0,265.0,,146.0,,
1998-12-17,270.0,270.0,270.0,270.0,,232.0,,
1998-12-18,270.0,270.0,270.0,270.0,,14.0,,
1998-12-21,270.0,270.0,270.0,270.0,,21.0,,
1998-12-22,272.0,272.0,272.0,272.0,,40.0,,
1998-12-23,272.0,272.0,272.0,272.0,,124.0,,
1998-12-24,275.0,275.0,275.0,275.0,,50.0,,
1998-12-25,275.0,275.0,275.0,275.0,,610.0,,
1998-12-30,277.0,277.0,277.0,277.0,,206.0,,
1998-12-31,281.0,281.0,281.0,281.0,,942.0,,
1999-01-04,270.0,270.0,270.0,270.0,,12.0,,
1999-01-05,275.0,275.0,275.0,275.0,,16.0,,
