date,close,open,high,low,turnover,volume,vwap,mktCap
2001-03-29,705.0,705.0,705.0,680.0,,5263.0,,155.1
2001-03-30,699.0,699.0,705.0,699.0,,4429.0,,153.78
2001-04-02,680.0,680.0,699.0,680.0,,1501.0,,149.6
2001-04-03,680.0,680.0,680.0,680.0,,1975.0,,149.6
2001-04-04,685.0,685.0,685.0,680.0,,186.0,,150.7
2001-04-05,690.0,690.0,690.0,685.0,,245.0,,151.8
2001-04-06,690.0,690.0,690.0,690.0,,922.0,,151.8
2001-04-09,681.0,681.0,690.0,681.0,,110.0,,149.82
2001-04-10,683.0,683.0,683.0,681.0,,150.0,,150.26
2001-04-11,673.0,673.0,683.0,673.0,,857.0,,148.06
2001-04-12,664.0,664.0,673.0,664.0,,749.0,,146.08
2001-04-13,665.0,665.0,665.0,664.0,,775.0,,146.3
2001-04-16,672.0,672.0,672.0,665.0,,100.0,,147.84
2001-04-17,663.0,663.0,672.0,663.0,,250.0,,145.86
2001-04-18,660.0,660.0,663.0,660.0,,262.0,,145.2
2001-04-19,658.0,658.0,660.0,658.0,,180.0,,144.76
2001-04-20,650.0,650.0,658.0,650.0,,550.0,,143.0
2001-04-23,640.0,640.0,650.0,640.0,,332.0,,140.8
2001-04-24,625.0,625.0,640.0,625.0,,1705.0,,137.5
2001-04-25,650.0,650.0,650.0,625.0,,850.0,,143.0
2001-04-26,649.0,649.0,650.0,649.0,,335.0,,142.78
2001-04-27,649.0,649.0,649.0,649.0,,530.0,,142.78
2001-04-30,650.0,650.0,650.0,649.0,,300.0,,143.0
2001-05-02,651.0,651.0,651.0,650.0,,789.0,,143.22
2001-05-03,650.0,650.0,651.0,650.0,,316.0,,143.0
2001-05-04,645.0,645.0,650.0,645.0,,316.0,,141.9
2001-05-07,645.0,645.0,645.0,645.0,,50.0,,141.9
2001-05-08,635.0,635.0,645.0,635.0,,70.0,,139.7
2001-05-09,628.0,628.0,635.0,628.0,,67.0,,138.16
2001-05-10,628.0,628.0,628.0,628.0,,25.0,,138.16
2001-05-11,645.0,645.0,645.0,628.0,,150.0,,141.9
2001-05-14,632.0,632.0,645.0,632.0,,95.0,,139.04
2001-05-15,625.0,625.0,632.0,625.0,,456.0,,137.5
2001-05-16,620.0,620.0,625.0,620.0,,190.0,,136.4
2001-05-17,615.0,615.0,620.0,615.0,,370.0,,135.3
2001-05-18,607.0,607.0,615.0,607.0,,170.0,,133.54
2001-05-21,599.0,599.0,607.0,599.0,,206.0,,131.78
2001-05-22,565.0,565.0,599.0,565.0,,681.0,,124.3
2001-05-23,596.0,596.0,596.0,565.0,,550.0,,131.12
2001-05-24,600.0,600.0,600.0,596.0,,330.0,,132.0
2001-05-25,605.0,605.0,605.0,600.0,,593.0,,133.1
2001-05-28,600.0,600.0,605.0,600.0,,1126.0,,132.0
2001-05-29,595.0,595.0,600.0,595.0,,300.0,,130.9
2001-05-30,589.0,589.0,595.0,589.0,,202.0,,129.58
2001-05-31,585.0,585.0,589.0,585.0,,33.0,,128.7
2001-06-01,590.0,590.0,590.0,585.0,,48.0,,129.8
2001-06-04,590.0,590.0,590.0,590.0,,541.0,,
2001-06-06,,,,,,,,129.8
2001-06-07,590.0,590.0,590.0,590.0,,,,129.8
2001-06-08,580.0,580.0,590.0,580.0,,805.0,,127.6
2001-06-11,575.0,575.0,580.0,575.0,,60.0,,126.5
2001-06-12,589.0,589.0,589.0,575.0,,30.0,,129.58
2001-06-13,575.0,575.0,589.0,575.0,,430.0,,126.5
2001-06-14,575.0,575.0,575.0,575.0,,100.0,,126.5
2001-06-15,587.0,587.0,587.0,575.0,,175.0,,129.14
2001-06-18,579.0,579.0,587.0,579.0,,400.0,,127.38
2001-06-19,575.0,575.0,579.0,575.0,,30.0,,126.5
2001-06-20,568.0,568.0,575.0,568.0,,107.0,,124.96
2001-06-21,568.0,568.0,568.0,568.0,,,,124.96
2001-06-22,563.0,563.0,568.0,563.0,,15.0,,123.86
2001-06-25,560.0,560.0,563.0,560.0,,51.0,,308.0
2001-06-26,550.0,550.0,560.0,550.0,,266.0,,302.5
2001-06-27,548.0,548.0,550.0,548.0,,250.0,,301.4
2001-06-28,545.0,545.0,548.0,545.0,,421.0,,299.75
2001-06-29,550.0,550.0,550.0,545.0,,807.0,,302.5
2001-07-02,552.0,552.0,552.0,550.0,,673.0,,303.6
2001-07-03,570.0,570.0,570.0,552.0,,200.0,,313.5
2001-07-04,570.0,570.0,570.0,570.0,,250.0,,313.5
2001-07-05,595.0,595.0,595.0,570.0,,250.0,,327.25
2001-07-06,595.0,595.0,595.0,595.0,,200.0,,327.25
2001-07-09,595.0,595.0,595.0,595.0,,100.0,,327.25
2001-07-10,595.0,595.0,595.0,595.0,,,,327.25
2001-07-11,588.0,588.0,595.0,588.0,,450.0,,323.4
2001-07-12,575.0,575.0,588.0,575.0,,155.0,,316.25
2001-07-13,570.0,570.0,570.0,570.0,,456.0,,313.5
2001-07-16,545.0,545.0,570.0,545.0,,270.0,,299.75
2001-07-17,515.0,515.0,545.0,515.0,,70.0,,283.25
2001-07-18,521.0,521.0,521.0,515.0,,199.0,,286.55
2001-07-19,522.0,522.0,522.0,521.0,,172.0,,287.1
2001-07-20,523.0,523.0,523.0,522.0,,75.0,,287.65
2001-07-23,530.0,530.0,575.0,523.0,,10.0,,291.5
2001-07-24,531.0,531.0,531.0,530.0,,76.0,,292.05
2001-07-25,536.0,536.0,536.0,531.0,,120.0,,294.8
