date,close,open,high,low,turnover,volume,vwap,mktCap
1998-07-13,450.0,450.0,450.0,450.0,,787500.0,,
1998-07-17,573.0,573.0,573.0,573.0,,176.0,,
1998-07-22,662.0,662.0,662.0,662.0,,8677.0,,
1998-07-23,650.0,650.0,650.0,650.0,,18234.0,,
1998-07-24,645.0,645.0,645.0,645.0,,10191.0,,
1998-07-27,640.0,640.0,640.0,640.0,,3613.0,,
1998-07-28,632.0,632.0,632.0,632.0,,5167.0,,
1998-07-29,630.0,630.0,630.0,630.0,,1981.0,,
1998-07-30,632.0,632.0,632.0,632.0,,1603.0,,
1998-07-31,634.0,634.0,634.0,634.0,,1023.0,,
1998-08-05,660.0,660.0,660.0,660.0,,3616.0,,
1998-08-06,693.0,693.0,693.0,693.0,,3539.0,,
1998-08-07,693.0,693.0,693.0,693.0,,4716.0,,
1998-08-10,693.0,693.0,693.0,693.0,,2785.0,,
1998-08-11,695.0,695.0,695.0,695.0,,1186.0,,
1998-08-12,698.0,698.0,698.0,698.0,,2337.0,,
1998-08-17,700.0,700.0,700.0,700.0,,3463.0,,
1998-08-18,699.0,699.0,699.0,699.0,,1873.0,,
1998-08-19,700.0,700.0,700.0,700.0,,4758.0,,
1998-08-21,705.0,705.0,705.0,705.0,,1794.0,,
1998-08-24,725.0,725.0,725.0,725.0,,1781.0,,
1998-08-25,760.0,760.0,760.0,760.0,,3394.0,,
1998-08-26,750.0,750.0,750.0,750.0,,3684.0,,
1998-08-27,754.0,754.0,754.0,754.0,,2143.0,,
1998-08-31,771.0,771.0,771.0,771.0,,953.0,,
1998-09-01,800.0,800.0,800.0,800.0,,4942.0,,
1998-09-02,800.0,800.0,800.0,800.0,,3945.0,,
1998-09-03,800.0,800.0,800.0,800.0,,3501.0,,
1998-09-04,797.0,797.0,797.0,797.0,,2509.0,,
1998-09-07,795.0,795.0,795.0,795.0,,1502.0,,
1998-09-08,790.0,790.0,790.0,790.0,,3976.0,,
1998-09-09,751.0,751.0,751.0,751.0,,3283.0,,
1998-09-10,750.0,750.0,750.0,750.0,,2327.0,,
1998-09-11,755.0,755.0,755.0,755.0,,2810.0,,
1998-09-14,760.0,,,,,1575.0,,
1998-09-15,766.0,,,,,1007.0,,
1998-09-16,780.0,780.0,780.0,780.0,,1281.0,,
1998-09-17,780.0,,,,,3539.0,,
1998-09-18,780.0,798.0,798.0,780.0,,3776.0,,
1998-09-21,785.0,785.0,785.0,785.0,,852.0,,
1998-09-22,780.0,,,,,3781.0,,
1998-09-23,785.0,785.0,785.0,785.0,,4141.0,,
1998-09-24,791.0,,,,,3373.0,,
1998-09-25,785.0,785.0,785.0,785.0,,2524.0,,
1998-09-28,784.0,,,,,1435.0,,
1998-09-29,770.0,,,,,6521.0,,
1998-09-30,765.0,765.0,765.0,765.0,,,,
1998-10-01,759.0,,,,,1109.0,,
1998-10-02,753.0,,,,,3083.0,,
1998-10-05,720.0,,,,,3572.0,,
1998-10-06,722.0,,,,,6848.0,,
1998-10-07,735.0,,,,,2654.0,,
1998-10-08,760.0,760.0,760.0,760.0,,3210.0,,
1998-10-09,760.0,,,,,2256.0,,
1998-10-12,730.0,,,,,1792.0,,
1998-10-13,731.0,,,,,1195.0,,
1998-10-14,738.0,738.0,738.0,738.0,,1105.0,,
1998-10-15,750.0,,,,,1039.0,,
1998-10-16,750.0,,,,,1161.0,,
1998-10-19,748.0,,,,,1680.0,,
1998-10-20,748.0,,,,,1267.0,,
1998-10-21,742.0,,,,,,,
1998-10-22,736.0,,,,,1467.0,,
1998-10-23,741.0,741.0,741.0,741.0,,505.0,,
1998-10-26,742.0,742.0,742.0,742.0,,575.0,,
1998-10-27,741.0,741.0,741.0,741.0,,789.0,,
1998-10-28,740.0,740.0,740.0,740.0,,801.0,,
1998-10-29,738.0,,,,,1028.0,,
1998-10-30,731.0,731.0,731.0,731.0,,594.0,,
1998-11-02,735.0,,,,,4955.0,,
1998-11-03,735.0,,,,,3200.0,,
1998-11-04,730.0,730.0,730.0,730.0,,1920.0,,
